Order,Name,Khmer,Geocode,number of Villages,District,Province,Latitude,Longitude
197,Sdaeung Chey,ស្ដើងជ័យ,30307,7,Cheung Prey,Kampong Cham ,12.1011045,105.0712462
198,Soutib,សូទិព្វ,30308,8,Cheung Prey,Kampong Cham ,12.0569346,105.0744299
199,Sramar,ស្រម៉រ,30309,13,Cheung Prey,Kampong Cham ,12.0753094,105.0748101
200,Trapeang Kor,ត្រពាំងគរ,30310,10,Cheung Prey,Kampong Cham ,12.1226409,105.115506
201,Boeng Kok,បឹងកុក,30501,8,Kampong Cham,Kampong Cham ,12.0015043,105.4664627
202,Kampong Cham,កំពង់ចាម,30502,9,Kampong Cham,Kampong Cham ,11.9948841,105.462139
203,Sambuor Meas,សំបួរមាស,30503,10,Kampong Cham,Kampong Cham ,11.9716229,105.4434941
204,Veal Vong,វាលវង់,30504,7,Kampong Cham,Kampong Cham ,11.9871705,105.4619756
205,Ampil,អំពិល,30601,14,Kampong Siem,Kampong Cham ,12.0133018,105.4282768
206,Hanchey,ហាន់ជ័យ,30602,4,Kampong Siem,Kampong Cham ,12.1536062,105.5284223
207,Kien Chrey,កៀនជ្រៃ,30603,6,Kampong Siem,Kampong Cham ,12.0705076,105.4954188
208,Kokor,គគរ,30604,4,Kampong Siem,Kampong Cham ,11.939426,105.3704026
209,Kaoh Mitt,កោះមិត្ដ,30605,9,Kampong Siem,Kampong Cham ,11.9573213,105.452075
210,Kaoh Roka,កោះរកា,30606,7,Kampong Siem,Kampong Cham ,11.951468,105.4090745
211,Kaoh Samraong,កោះសំរោង,30607,8,Kampong Siem,Kampong Cham ,12.0632386,105.5175626
212,Kaoh Tontuem,កោះទន្ទឹម,30608,5,Kampong Siem,Kampong Cham ,11.9357037,105.401235
213,Krala,ក្រឡា,30609,13,Kampong Siem,Kampong Cham ,12.040688,105.393502
214,Ou Svay,អូរស្វាយ,30610,7,Kampong Siem,Kampong Cham ,12.0957976,105.3871217
215,Ro'ang,រអាង,30611,8,Kampong Siem,Kampong Cham ,12.022954,105.4657057
216,Rumchek,រំចេក,30612,4,Kampong Siem,Kampong Cham ,12.1002937,105.5160858
217,Srak,ស្រក,30613,4,Kampong Siem,Kampong Cham ,12.0111145,105.4331673
218,Trean,ទ្រាន,30614,12,Kampong Siem,Kampong Cham ,12.0802848,105.4313663
219,Vihear Thum,វិហារធំ,30615,9,Kampong Siem,Kampong Cham ,12.012794,105.3743655
220,Angkor Ban,អង្គរបាន,30701,9,Kang Meas,Kampong Cham ,11.9557352,105.2125522
221,Kang Ta Noeng,កងតាណឹង,30702,9,Kang Meas,Kampong Cham ,11.855232,105.0598026
222,Khchau,ខ្ចៅ,30703,10,Kang Meas,Kampong Cham ,11.9105438,105.1337964
223,Peam Chi Kang,ពាមជីកង,30704,7,Kang Meas,Kampong Cham ,11.9456561,105.2678145
224,Preaek Koy,ព្រែកកុយ,30705,7,Kang Meas,Kampong Cham ,11.9175797,105.0220817
225,Preaek Krabau,ព្រែកក្របៅ,30706,10,Kang Meas,Kampong Cham ,11.9942173,105.2642707
226,Reay Pay,រាយប៉ាយ,30707,11,Kang Meas,Kampong Cham ,11.9445464,105.1005185
227,Roka Ar,រកាអារ,30708,9,Kang Meas,Kampong Cham ,11.8763047,105.1142011
228,Roka Koy,រកាគយ,30709,7,Kang Meas,Kampong Cham ,11.9601471,105.3026154
229,Sdau,ស្ដៅ,30710,6,Kang Meas,Kampong Cham ,11.863772,105.0274673
230,Sour Kong,សូរគង,30711,13,Kang Meas,Kampong Cham ,11.9611184,105.1627908
231,Kampong Reab,កំពង់រាប,30801,8,Kaoh Soutin,Kampong Cham ,11.9007485,105.3621968
232,Kaoh Sotin,កោះសូទិន,30802,15,Kaoh Soutin,Kampong Cham ,11.8892248,105.4331673
233,Lve,ល្វេ,30803,10,Kaoh Soutin,Kampong Cham ,11.8464706,105.3744324
