Order,Name,Khmer,Geocode,District,Province,Latitude,Longitude
672,Thma Kor,ថ្មគរ,80614,Lvea Aem,Kandal ,11.5453563,105.0411298
676,Roka Kong Ti Muoy,រកាកោង ទី ១,80707,Mukh Kampul,Kandal ,11.8480085,104.9957691
677,Roka Kong Ti Pir,រកាកោង ទី ២,80708,Mukh Kampul,Kandal ,11.8480085,104.9957691
681,Baek Chan,បែកចាន,80801,Angk Snuol,Kandal ,11.5083822,104.7156373
686,Mkak,ម្កាក់,80809,Angk Snuol,Kandal ,11.5083822,104.7156373
688,Prey Puoch,ព្រៃពួច,80813,Angk Snuol,Kandal ,11.5083822,104.7156373
690,Tuol Prech,ទួលព្រេជ,80816,Ponhea Lueu,Kandal ,11.7872229,104.8211423
691,Chhveang,ឈ្វាំង,80901,Ponhea Lueu,Kandal ,11.7502991,104.7754307
692,Chrey Loas,ជ្រៃលាស់,80902,Ponhea Lueu,Kandal ,11.7502991,104.7754307
697,Ponhea Lueu,ពញាឮ,80907,Ponhea Lueu,Kandal ,11.7872229,104.8211423
701,Vihear Luong,វិហារហ្លួង,80914,S'ang,Kandal ,11.3594531,105.0060673
702,Khpob,ខ្ពប,81001,S'ang,Kandal ,11.3594531,105.0060673
703,Kaoh Khael,កោះខែល,81003,S'ang,Kandal ,11.3594531,105.0060673
706,Prasat,ប្រាសាទ,81006,S'ang,Kandal ,11.3594531,105.0060673
707,Preaek Ambel,ព្រែកអំបិល,81007,S'ang,Kandal ,11.3594531,105.0060673
708,Preaek Koy,ព្រែកគយ,81008,S'ang,Kandal ,11.3594531,105.0060673
710,Svay Prateal,ស្វាយប្រទាល,81012,S'ang,Kandal ,11.3594531,105.0060673
711,Ta Lon,តាលន់,81014,S'ang,Kandal ,11.3594531,105.0060673
712,Traeuy Sla,ត្រើយស្លា,81015,S'ang,Kandal ,11.3594531,105.0060673
713,Tuek Vil,ទឹកវិល,81016,Ta Khmau,Kandal ,11.4592378,104.9447261
721,Kaoh Anlong Chen,កោះអន្លង់ចិន,81108,Ta Khmau,Kandal ,11.4592378,104.9447261
723,Roka Khpos,រកាខ្ពស់,81110,Sampeou Poun,Kandal ,10.9968832,105.044052
725,Preaek Chrey,ព្រែកជ្រៃ,81202,Sampeou Poun,Kandal ,10.9968832,105.044052
726,Preaek Sdei,ព្រែកស្ដី,81203,Sampeou Poun,Kandal ,10.9968832,105.044052
727,Chrouy Ta Kaev,ជ្រោយតាកែវ,81204,Sampeou Poun,Kandal ,10.9968832,105.044052
728,Sampeou Poun,សំពៅពូន,81205,Akreiy Ksatr,Kandal ,11.570049,104.9591576
729,Bak Dav,បាក់ដាវ,81301,Akreiy Ksatr,Kandal ,11.570049,104.9591576
730,Kaoh Oknha Tei,កោះឧកញ៉ាតី,81302,Akreiy Ksatr,Kandal ,11.570049,104.9591576
731,Preaek Ampil,ព្រែកអំពិល,81303,Akreiy Ksatr,Kandal ,11.570049,104.9591576
732,Preaek Luong,ព្រែកលួង,81304,Akreiy Ksatr,Kandal ,11.570049,104.9591576
733,Preaek Ta kov,ព្រែកតាកូវ,81305,Akreiy Ksatr,Kandal ,11.570049,104.9591576
736,Sarikakaev,សារិកាកែវ,81308,Akreiy Ksatr,Kandal ,11.570049,104.9591576
737,Peam Oknha Ong,ពាមឧកញ៉ាអុង,81309,Akreiy Ksatr,Kandal ,11.570049,104.9591576
738,Preaek Kmeng,ព្រែកក្មេង,81310,Akreiy Ksatr,Kandal ,11.570049,104.9591576
739,Barong,បារុង,81311,Botum Sakor,Koh Kong ,11.1883046,103.4685183
741,Kandaol,កណ្ដោល,90102,Botum Sakor,Koh Kong ,11.1883046,103.4685183
753,Stueng Veaeng,ស្ទឹងវែង,90403,Mondol Seima,Koh Kong ,11.6229587,102.9493104
755,Peam Krasaob,ពាមក្រសោប,90502,Mondol Seima,Koh Kong ,11.6229587,102.9493104
756,Tuol Kokir,ទួលគគីរ,90503,Srae Ambel,Koh Kong ,11.117586,103.7433983
762,Srae Ambel,ស្រែអំបិល,90606,Thma Bang,Koh Kong ,11.117586,103.7433983
763,Ta Tey Leu,តាទៃលើ,90701,Thma Bang,Koh Kong ,11.6779092,103.4453969
764,Pralay,ប្រឡាយ,90702,Thma Bang,Koh Kong ,11.6779092,103.4453969
765,Chumnoab,ជំនាប់,90703,Thma Bang,Koh Kong ,11.6779092,103.4453969
766,Ruessei Chrum,ឫស្សីជ្រុំ,90704,Thma Bang,Koh Kong ,11.6779092,103.4453969
768,Thma Doun Pov,ថ្មដូនពៅ,90706,Chhloung,Kratie ,12.2562914,105.9406128
769,Chhloung,ឆ្លូង,100101,Chhloung,Kratie ,12.2562914,105.9406128
781,Roka Kandal,រកាកណ្ដាល,100211,Prek Prasab,Kratie ,12.3918511,105.993491
786,Preaek Prasab,ព្រែកប្រសព្វ,100305,Prek Prasab,Kratie ,12.3918511,105.993491
789,Ta Mao,តាម៉ៅ,100308,Sambour,Kratie ,12.7744233,105.9670501
791,Kampong Cham,កំពង់ចាម,100402,Sambour,Kratie ,12.7744233,105.9670501
792,Kaoh Khnhaer,កោះខ្ញែរ,100404,Sambour,Kratie ,12.7744233,105.9670501
793,Sambour,សំបូរ,100407,Sambour,Kratie ,12.7744233,105.9670501
811,Thmei,ថ្មី,100610,Ou Krieng,Kratie ,13.0478596,106.1807963
813,Ou Krieng,អូរគ្រៀង,100702,Ou Krieng,Kratie ,13.0478596,106.1807963
814,Oukondear Senchey,អូរកណ្តៀរសែនជ័យ,100703,Ou Krieng,Kratie ,13.0478596,106.1807963
815,Roluos Mean Chey,រលួសមានជ័យ,100704,Ou Krieng,Kratie ,13.0478596,106.1807963
823,A Buon Leu,អ បួនលើ,110202,Kaoh Nheaek,Mondulkiri ,13.0755436,107.0362272
825,Sokh Sant,សុខសាន្ដ,110204,Kaoh Nheaek,Mondulkiri ,13.0755436,107.0362272
833,Bu Sra,ប៊ូស្រា,110404,Saen Monourom,Mondulkiri ,12.4747209,107.1484521
834,Monourom,មនោរម្យ,110501,Saen Monourom,Mondulkiri ,12.4747209,107.1484521
835,Sokh Dom,សុខដុម,110502,Saen Monourom,Mondulkiri ,12.4747209,107.1484521
853,Voat Phnum,វត្ដភ្នំ,120211,Prampir Meakkakra,Phnom Penh ,11.5631601,104.9126044
854,Ou Ruessei Ti Muoy,អូរឫស្សីទី ១,120301,Prampir Meakkakra,Phnom Penh ,11.5625473,104.9170771
855,Ou Ruessei Ti Pir,អូរឫស្សីទី ២,120302,Prampir Meakkakra,Phnom Penh ,11.5625473,104.9170771
856,Ou Ruessei Ti Bei,អូរឫស្សីទី ៣,120303,Prampir Meakkakra,Phnom Penh ,11.5625473,104.9170771
857,Ou Ruessei Ti Buon,អូរឫស្សីទី ៤,120304,Prampir Meakkakra,Phnom Penh ,11.5625473,104.9170771
858,Monourom,មនោរម្យ,120305,Prampir Meakkakra,Phnom Penh ,11.5631601,104.9126044
859,Mittapheap,មិត្ដភាព,120306,Prampir Meakkakra,Phnom Penh ,11.5631601,104.9126044
860,Veal Vong,វាលវង់,120307,Prampir Meakkakra,Phnom Penh ,11.5631601,104.9126044
873,Pong Tuek,ពងទឹក,120507,Dangkao,Phnom Penh ,11.473724,104.8250329
894,Chrang Chamreh Ti Muoy,ច្រាំងចំរេះទី ១,120711,Russey Keo,Phnom Penh ,11.6332276,104.8989734
895,Chrang Chamreh Ti Pir,ច្រាំងចំរេះទី ២,120712,Russey Keo,Phnom Penh ,11.6332276,104.8989734
928,Preaek Thmei,ព្រែកថ្មី,121208,Boeng Keng Kang,Phnom Penh ,11.5500312,104.9257444
929,Boeng Keng Kang Ti Muoy,បឹងកេងកងទី ១,121301,Boeng Keng Kang,Phnom Penh ,11.5500312,104.9257444
932,Olympic,អូឡាំពិក,121304,Boeng Keng Kang,Phnom Penh ,11.5500312,104.9257444
933,Tumnob Tuek,ទំនប់ទឹក,121305,Boeng Keng Kang,Phnom Penh ,11.5500312,104.9257444
938,Ovlaok,ឪឡោក,121403,Kamboul,Phnom Penh ,11.5312221,104.7760842
940,Phleung Chheh Roteh,ភ្លើងឆេះរទេះ,121405,Kamboul,Phnom Penh ,11.5312221,104.7760842
941,Boeng Thum,បឹងធំ,121406,Kamboul,Phnom Penh ,11.5312221,104.7760842
942,Prateah Lang,ប្រទះឡាង,121407,Chey Saen,Preah Vihear ,13.64993,105.2604409
943,S'ang,ស្អាង,130101,Chey Saen,Preah Vihear ,13.64993,105.2604409
944,Tasu,តស៊ូ,130102,Chey Saen,Preah Vihear ,13.64993,105.2604409
945,Khyang,ខ្យង,130103,Chey Saen,Preah Vihear ,13.64993,105.2604409
947,Thmea,ធ្មា,130105,Chey Saen,Preah Vihear ,13.64993,105.2604409
960,Rumdaoh Srae,រំដោះស្រែ,130304,Choam Ksant,Preah Vihear ,13.5249095,105.0312768
980,Rumdaoh,រំដោះ,130510,Rovieng,Preah Vihear ,13.5249095,105.0312768
993,Pal Hal,ប៉ាលហាល,130802,Ba Phnum,Prey Veng ,11.2559068,105.4009178
995,Cheung Phnum,ជើងភ្នំ,140102,Ba Phnum,Prey Veng ,11.2559068,105.4009178
997,Reaks Chey,រក្សជ័យ,140104,Ba Phnum,Prey Veng ,11.2559068,105.4009178
998,Roung Damrei,រោងដំរី,140105,Ba Phnum,Prey Veng ,11.2559068,105.4009178
1002,Theay,ធាយ,140109,Kamchay Mear,Prey Veng ,11.578148,105.6617813
1003,Cheach,ជាច,140201,Kamchay Mear,Prey Veng ,11.578148,105.6617813
1005,Kranhung,ក្រញូង,140203,Kamchay Mear,Prey Veng ,11.578148,105.6617813
1006,Krabau,ក្របៅ,140204,Kamchay Mear,Prey Veng ,11.578148,105.6617813
1014,Chrey,ជ្រៃ,140304,Kampong Trabaek,Prey Veng ,11.5653486,105.5305851
1024,Chong Ampil,ចុងអំពិល,140401,Kanhchriech,Prey Veng ,11.6885153,105.5620927
1025,Kanhchriech,កញ្ជ្រៀច,140402,Kanhchriech,Prey Veng ,11.6885153,105.5620927
1026,Kdoeang Reay,ក្ដឿងរាយ,140403,Kanhchriech,Prey Veng ,11.485114,105.328098
1027,Kouk Kong Kaeut,គោកគង់កើត,140404,Kanhchriech,Prey Veng ,11.6885153,105.5620927
1028,Kouk Kong Lech,គោកគង់លិច,140405,Kanhchriech,Prey Veng ,11.6885153,105.5620927
1029,Preal,ព្រាល,140406,Kanhchriech,Prey Veng ,11.6885153,105.5620927
1039,Trapeang Srae,ត្រពាំងស្រែ,140508,Peam Chor,Prey Veng ,11.1072753,105.2238689
1040,Angkor Angk,អង្គរអង្គ,140601,Peam Chor,Prey Veng ,11.1072753,105.2238689
1041,Kampong Prasat,កំពង់ប្រាសាទ,140602,Peam Chor,Prey Veng ,11.1072753,105.2238689
1042,Kaoh Chek,កោះចេក,140603,Peam Chor,Prey Veng ,11.1072753,105.2238689
1043,Kaoh Roka,កោះរកា,140604,Peam Chor,Prey Veng ,11.1072753,105.2238689
1044,Kaoh Sampov,កោះសំពៅ,140605,Peam Chor,Prey Veng ,11.1072753,105.2238689
1048,Ruessei Srok,ឫស្សីស្រុក,140609,Peam Chor,Prey Veng ,11.1072753,105.2238689
1066,Roka,រកា,140811,Preah Sdach,Prey Veng ,11.0975014,105.386309
1072,Krang Svay,ក្រាំងស្វាយ,140906,Preah Sdach,Prey Veng ,11.0975014,105.386309
1074,Preah Sdach,ព្រះស្ដេច,140908,Preah Sdach,Prey Veng ,11.0975014,105.386309
1076,Rumchek,រំចេក,140910,Preah Sdach,Prey Veng ,11.0975014,105.386309
1077,Sena Reach Otdam,សេនារាជឧត្ដម,140911,Prey Veng,Prey Veng ,11.485114,105.328098
1080,Kampong Leav,កំពង់លាវ,141003,Prey Veng,Prey Veng ,11.485114,105.328098
1082,Pou Rieng,ពោធិ៍រៀង,141101,Pur Rieng,Prey Veng ,11.5230199,105.357029
1084,Preaek Chrey,ព្រែកជ្រៃ,141103,Pur Rieng,Prey Veng ,11.5230199,105.357029
1087,Preaek Ta Sar,ព្រែកតាសរ,141107,Sithor Kandal,Prey Veng ,11.7703811,105.3804526
1091,Pnov Ti Muoy,ព្នៅទី ១,141204,Sithor Kandal,Prey Veng ,11.8355579,105.3037853
1092,Pnov Ti Pir,ព្នៅទី ២,141205,Sithor Kandal,Prey Veng ,11.8355579,105.3037853
1097,Rumlech,រំលេច,141210,Sithor Kandal,Prey Veng ,11.7703811,105.3804526
1098,Ruessei Sanh,ឫស្សីសាញ់,141211,Svay Antor,Prey Veng ,11.5692151,105.4214515
1101,Chrey,ជ្រៃ,141303,Svay Antor,Prey Veng ,11.5653486,105.5305851
1105,Popueus,ពពឺស,141307,Svay Antor,Prey Veng ,11.5692151,105.4214515
1108,Svay Antor,ស្វាយអន្ទរ,141310,Svay Antor,Prey Veng ,11.5692151,105.4214515
1109,Tuek Thla,ទឹកថ្លា,141311,Bakan,Pursat ,12.5998027,103.7810579
1110,Boeng Bat Kandaol,បឹងបត់កណ្ដាល,150101,Bakan,Pursat ,12.5998027,103.7810579
1112,Khnar Totueng,ខ្នារទទឹង,150103,Bakan,Pursat ,12.5998027,103.7810579
1115,Rumlech,រំលេច,150106,Bakan,Pursat ,12.5998027,103.7810579
1118,Trapeang chorng,ត្រពាំងជង,150110,Kandieng,Pursat ,12.6102524,103.9590773
1119,Anlong Vil,អន្លង់វិល,150201,Kandieng,Pursat ,12.6102524,103.9590773
1121,Kanhchor,កញ្ជរ,150204,Kandieng,Pursat ,12.6102524,103.9590773
1124,Svay Luong,ស្វាយលួង,150207,Kandieng,Pursat ,12.6102524,103.9590773
1125,Sya,ស្យា,150208,Kandieng,Pursat ,12.6102524,103.9590773
1126,Veal,វាល,150209,Kandieng,Pursat ,12.6102524,103.9590773
1128,Anlong Tnaot,អន្លង់ត្នោត,150301,Krakor,Pursat ,12.5493579,104.204716
1129,Ansa Chambak,អន្សាចំបក់,150302,Krakor,Pursat ,12.5493579,104.204716
1131,Chheu Tom,ឈើតុំ,150304,Krakor,Pursat ,12.5493579,104.204716
1133,Kampong Pou,កំពង់ពោធិ៍,150306,Krakor,Pursat ,12.5493579,104.204716
